Comment,Spam
"Dig up dirt on friends",1
"Direct email",1
"Direct marketing",1
"Discount",1
"Discounted",1
"Discover the secret",1
"Discover the truth",1
"Discusses search engine listings",1
"Do it now",1
"Do it today",1
"Don't",1
"Don't delay, start earning today",1
"Don't delete",1
"Don’t delete",1
"Don't hesitate",1
"Don’t hesitate!",1
"Don’t hesitate",1
"Don't hesitate, act now",1
"Don't miss",1
"Don't miss out",1
"Don't miss this chance",1
"Don't miss this opportunity",1
"Don't wait",1
"Dormant",1
"Double your",1
"Double your cash",1
"Double your chances",1
"Double your earnings",1
"Double your income",1
"Double your investment",1
"Double your leads",1
"Double your money",1
"Double your profits",1
"Double your savings",1
"Double your wealth",1
"Drastically reduced",1
"Dream come true",1
"Dream job",1
"Earn $",1
"Earn",1
"Earn extra cash",1
"Earn extra profit",1
"Earn from home",1
"Earn money",1
"Earn monthly",1
"Earn per month",1
"Earn per week",1
"Easy",1
"Easy terms",1
"Eliminate bad credit",1
"Eliminate debt",1
"Elite",1
"Elite circle",1
"Elite membership",1
"Elite opportunity",1
"Elite status",1
"Email extractor",1
"Email harvest",1
"Email marketing",1
"Exciting news",1
"Exciting opportunity",1
"Exciting opportunity awaits",1
"Exclusive",1
"Exclusive access",1
"Exclusive access granted",1
"Exclusive behind-the-scenes access",1
"Exclusive benefits",1
"Exclusive bonus",1
"Exclusive club membership",1
"Exclusive content",1
"Exclusive content for members only",1
"Exclusive customer rewards",1
"Exclusive deal",1
"Exclusive discount",1
"Exclusive early access",1
"Exclusive early access to new products",1
"Exclusive early bird",1
"Exclusive early bird pricing",1
"Exclusive event",1
"Exclusive event invitation",1
"Exclusive insider",1
"Exclusive insider information",1
"Exclusive insider knowledge",1
"Exclusive insider tips",1
"Exclusive insider tips and tricks",1
"Exclusive invitation",1
"Exclusive invitation only",1
"Exclusive loyalty program",1
"Exclusive member benefits",1
"Exclusive membership",1
"Exclusive offer",1
"Exclusive offer for you",1
"Exclusive one-time offer",1
"Exclusive opportunity",1
"Exclusive partner",1
"Exclusive partner program",1
"Exclusive partnership",1
"Exclusive partnership opportunity",1
"Exclusive pricing",1
"Exclusive private invitation",1
"Exclusive product",1
"Exclusive product bundle",1
"Exclusive product launch",1
"Exclusive rewards",1
"Exclusive rewards and discounts",1
"Exclusive rewards program",1
"Exclusive sneak peek",1
"Exclusive travel deals",1
"Exclusive VIP access",1
"Exclusive VIP benefits",1
"Expect to earn",1
"Expire",1
"Expires",1
"Expiring soon",1
"Explode your business",1
"Explosive growth",1
"Exponential growth",1
"Extra",1
"Extra bonuses",1
"Extra bonuses included",1
"Extra cash",1
"Extra cash flow",1
"Extra cash in your pocket",1
"Extract email ",1
"Extract email",1
"Extra income",1
"Extra income opportunity",1
"Extra income stream",1
"Extraordinary",1
"Extraordinary offer",1
"Extraordinary opportunity",1
"Extraordinary results",1
"Extraordinary returns on investment",1
"Fantastic",1
"Fantastic deal",1
"Fantastic offer",1
"Fast",1
"Fast and easy",1
"Fast and easy money",1
"Fast and easy money-making",1
"Fast and effective results",1
"Fast and efficient process",1
"Fast and efficient service",1
"Fast and free",1
"Fast and furious",1
"Fast and guaranteed",1
"Fast and reliable customer service",1
"Fast and reliable service",1
"Fast approval",1
"Fast approval process",1
"Fast cash",1
"Fast cash payout",1
"Fast cash transfer",1
"Fast delivery",1
"Fast results",1
"Fast track to success",1
"Fast-track your wealth",1
"Fast Viagra delivery",1
"Financial freedom",1
"Financially independent",1
"Find out anything",1
"For free",1
"For instant access",1
"For just $",1
"For just $ [some amount]",1
"For just X$",1
"Form",1
"For only",1
"For Only",1
"For only XXX amount",1
"For you",1
"F r e e",1
"Free!",1
"Free",1
"Free access",1
"Free bonus",1
"Free cell phone",1
"Free consultation",1
"Freedom",1
"Free DVD",1
"Free gift",1
"Free grant money",1
"Free hosting",1
"Free info",1
"Free information",1
"Free installation",1
"Free instant",1
"Free investment",1
"Free iPhone",1
"Free leads",1
"Free Macbook",1
"Free membership",1
"Free money",1
"Free offer",1
"Free preview",1
"Free priority mail",1
"Free quote",1
"Free sample",1
"Free shipping",1
"Free trial",1
"Free website",1
"Friend",1
"Full refund",1
"Full REFUND",1
"Get",1
"Get it now",1
"Get out of debt",1
"Get out of debt NOW",1
"Get paid",1
"Get paid instantly",1
"Get rich",1
"Get rich quick",1
"Get started now",1
"Gift certificate",1
"Giveaway",1
"Give it away",1
"Giving away",1
"Giving it away",1
"Government grant",1
"Great",1
"Great deal",1
"Great offer",1
"Guarantee",1
"Guaranteed",1
"Guaranteed delivery",1
"Guaranteed deposit",1
"Guaranteed income",1
"Guaranteed jackpot",1
"Guaranteed payment",1
"Guaranteed profits",1
"Guaranteed results",1
"Guaranteed returns",1
"Guaranteed satisfaction",1
"Guaranteed success",1
"Guaranteed success formula",1
"Guaranteed to work",1
"Have you been turned down?",1
"Hello",1
"Here",1
"Hidden",1
"Hidden assets",1
"Hidden charges",1
"Hidden fees",1
"High-paying",1
"High-powered",1
"High-profit",1
"High-profit margins",1
"High-profit margins guaranteed",1
"High-profit potential",1
"High returns",1
"High score",1
"High success rate",1
"High-yield investment",1
"High-yield investment opportunity",1
"Home",1
"Home based",1
"Home based business",1
"Home-based business",1
"Home employment",1
"Hot",1
"Huge discount",1
"Huge earnings",1
"Huge savings",1
"Human growth hormone",1
"Hurry",1
"Hurry up",1
"If only it were that easy",1
"Important information regarding",1
"Important notification",1
"In accordance with laws",1
"Income",1
"Income from home",1
"Increase sales",1
"Increase traffic",1
"Increase your chances",1
"Increase your sales",1
"Increase your wealth",1
"Incredible",1
"Incredible deal",1
"Incredible earnings",1
"Incredible opportunity",1
"Incredible value",1
"Information you requested",1
"Info you requested",1
"Insider",1
"Insider information",1
"Insider secrets",1
"Insider secrets revealed",1
"Instant",1
"Instant access",1
"Instant access granted",1
"Instant access to premium content",1
"Instant approval",1
"Instant cash",1
"Instant cash flow",1
"Instant cash transfer",1
"Instant cash transfer to your account",1
"Instant customer support",1
"Instant earnings",1
"Instant fortune",1
"Instant gratification",1
"Instant income",1
"Instantly",1
"Instant millionaire",1
"Instant millionaire status",1
"Instant offers",1
"Instant results",1
"Instant results, guaranteed",1
"Instant success",1
"Instant weight loss",1
"Insurance",1
"Internet market",1
"Internet marketing",1
"Investment",1
"Investment decision",1
"Irresistible",1
"It’s effective",1
"Jackpot",1
"JACKPOT",1
"Join millions",1
"Join millions of Americans",1
"Junk",1
"Laser printer",1
"Last chance",1
"Last chance to save",1
"Learn",1
"Leave",1
"Legal",1
"Legal notice",1
"Life",1
"Life-changing breakthrough",1
"Life-changing opportunity",1
"Life-changing results",1
"Life Insurance",1
"Lifetime",1
"Lifetime access",1
"Lifetime deal",1
"Limited",1
"Limited amount",1
"Limited availability",1
"Limited availability, act fast",1
"Limited availability, book now",1
"Limited edition",1
"Limited edition collector's item",1
"Limited edition offer",1
"Limited enrollment",1
"Limited enrollment period",1
"Limited inventory",1
"Limited inventory remaining",1
"Limited number",1
"Limited offer",1
"Limited quantities available",1
"Limited quantity",1
"Limited quantity available",1
"Limited slots",1
"Limited slots, register now",1
"Limited slots remaining",1
"Limited slots, reserve yours now",1
"Limited spots",1
"Limited spots available",1
"Limited spots available, sign up now",1
"Limited spots, register today",1
"Limited spots remaining",1
"Limited stock",1
"Limited stock, buy it now",1
"Limited stock, buy now",1
"Limited supply",1
"Limited supply, order now",1
"Limited time",1
"Limited-time",1
"Limited-time access",1
"Limited time bonus",1
"Limited-time bonus",1
"Limited-time bonus, act now",1
"Limited-time bonus package",1
"Limited time deal",1
"Limited-time deal",1
"Limited time discount",1
"Limited-time discount",1
"Limited-time free trial",1
"Limited time offer",1
"Limited-time offer",1
"Limited-time offer, act now",1
"Limited-time offer, don't miss out",1
"Limited time only",1
"Limited-time only",1
"Limited-time opportunity",1
"Limited-time opportunity, act now",1
"Limited-time pricing",1
"Limited-time promotion",1
"Limited-time sale",1
"Limited-time savings",1
"Limited-time savings opportunity",1
"Loan",1
"Loan approved",1
"Loans",1
"Long distance phone offer",1
"Lose",1
"Lose weight",1
"Lose weight instantly",1
"Lose weight spam",1
"Lottery",1
"Lottery winner",1
"Lower interest rate",1
"Lower interest rates",1
"Lower monthly payment",1
"Lower rates",1
"Lower your mortgage rate",1
"Lowest insurance rates",1
"Lowest price",1
"Lowest price ever",1
"Lowest rate",1
"Low insurance premium",1
"Low mortgage rates",1
"Luxury",1
"Luxury car",1
"Mail in order form",1
"Maintained",1
"Make $",1
"Make",1
"Make money",1
"Make Money",1
"Marketing",1
"Marketing solution",1
"Marketing solutions",1
"Mass email",1
"Massive",1
"Massive cash prizes",1
"Massive discount",1
"Massive discounts",1
"Massive growth",1
"Massive income potential",1
"Massive profits",1
"Massive savings",1
"Maximum profit",1
"Maximum returns",1
"Medical condition",1
"Medicine",1
"Medium",1
"Meet girls",1
"Meet me",1
"Meet singles",1
"Meet women",1
"Member",1
"Membership",1
"Member stuff",1
"Message contains",1
"Message contains disclaimer",1
"Million",1
"Millionaire",1
"Millionaire lifestyle",1
"Million-dollar",1
"Million-dollar idea",1
"Million dollars",1
"Miracle",1
"Miss",1
"MLM",1
"Money",1
"Money back",1
"Money back guarantee",1
"Money-back guarantee",1
"Money making",1
"Money-making",1
"Money-making machine",1
"Money-making secrets",1
"Month trial offer",1
"More",1
"More internet traffic",1
"More Internet Traffic",1
"Mortgage",1
"Mortgage rates",1
"Multi-level",1
"Multi level marketing",1
"Multi-level marketing",1
"Name brand",1
"Never",1
"Never before",1
"Never before seen",1
"New",1
"New breakthrough",1
"New customers only",1
"New domain extensions",1
"Nigerian",1
"Nigerian prince",1
"No age restrictions",1
"No catch",1
"No claim forms",1
"No cost",1
"No credit card required",1
"No credit check",1
"No deposit required",1
"No disappointment",1
"No experience",1
"No extra cost",1
"No fees",1
"No gimmick",1
"No hidden",1
"No hidden costs",1
"No hidden fees",1
"No hidden сosts",1
"No interest",1
"No interests",1
"No inventory",1
"No investment",1
"No investment required",1
"No medical exams",1
"No middleman",1
"No obligation",1
"No-obligation",1
"No payment required",1
"No purchase necessary",1
"No questions asked",1
"No risk",1
"No selling",1
"No strings attached",1
"Not intended",1
"Not junk",1
"Not scam",1
"Not spam",1
"Notspam",1
"Now",1
"Now only",1
"Number 1",1
"Number one",1
"Obligation",1
"Offer",1
"Offer expires",1
"Offer expires in X days",1
"Offers coupon",1
"Offers extra cash",1
"Offers free (often stolen) passwords",1
"Off shore",1
"Offshore",1
"Once in a lifetime",1
"Once-in-a-lifetime",1
"Once in a lifetime deal",1
"Once in a lifetime opportunity",1
"Once in lifetime",1
"One hundred percent free",1
"One hundred percent guaranteed",1
"One-of-a-kind",1
"One time",1
"One time mailing",1
"One-time offer",1
"Online biz opportunity ",1
"Online biz opportunity",1
"Online degree",1
"Online income",1
"Online job",1
"Online marketing",1
"Online pharmacy",1
"Only $",1
"Only",1
"Only for today",1
"Open",1
"Open Opportunity",1
"Open this email!",1
"Opportunity",1
"Opt in",1
"Order",1
"Order now",1
"Order shipped by",1
"Orders shipped by priority mail",1
"Orders shipped by the shopper",1
"Order status",1
"Order today",1
"Out",1
"Outstanding amount",1
"Outstanding value",1
"Outstanding values",1
"Overnight",1
"Passwords",1
"Pennies a day",1
"People just leave money laying around",1
"Per day",1
"Performance",1
"Per month",1
"Per week",1
"Phone",1
"Please read",1
"Potential earnings",1
"Powerhouse method",1
"Power-packed",1
"Pre-approved",1
"Premium access",1
"Premium offer",1
"Premium package",1
"Presently",1
"Price",1
"Price protection",1
"Print form signature",1
"Print out and fax",1
"Priority mail",1
"Prize",1
"Prizes",1
"Problem",1
"Produced and sent out",1
"Profitable opportunity",1
"Profitable venture",1
"Profit explosion",1
"Profits",1
"Promise",1
"Promise you …!",1
"Promise you",1
"Proven",1
"Proven strategies",1
"Proven success",1
"Proven system",1
"Purchase",1
"Pure profit",1
"Pure profits",1
"Quick",1
"Quick and easy",1
"Quick and easy money transfer",1
"Quick and easy setup",1
"Quick and hassle-free",1
"Quick and hassle-free process",1
"Quick and painless application process",1
"Quick and reliable shipping",1
"Quick and secure online payment",1
"Quick and secure transactions",1
"Quick and simple",1
"Quick and simple setup",1
"Quick cash",1
"Quote",1
"Rare chance",1
"Rates",1
"Real thing",1
"Recover your debt",1
"Recover your debt instantly",1
"Refinance",1
"Refinance home",1
"Refund",1
"Removal",1
"Removal instructions",1
"Remove",1
"Remove in quotes",1
"Remove subject",1
"Removes wrinkles",1
"Reply remove subject",1
"Request",1
"Request now",1
"Request today",1
"Requires initial investment",1
"Reserves the right",1
"Results",1
"Revealed",1
"Reverses",1
"Reverses aging",1
"Revolutionary",1
"Risk free",1
"Risk-free",1
"Risk-free investment",1
"Risk-free opportunity",1
"Risk-free trial",1
"Risk-free trial period",1
"Rolex",1
"Round the world",1
"S 1618",1
"Safeguard notice",1
"Sale",1
"Sales",1
"Sample",1
"Satisfaction",1
"Satisfaction guaranteed",1
"Save $",1
"Save",1
"Save big",1
"Save big money",1
"Save Big Money",1
"Save money",1
"Save now",1
"Save up to",1
"Score",1
"Score with babes",1
"Search engine",1
"Search engine listings",1
"Search engines",1
"Secret",1
"Secret discount",1
"Secret formula",1
"Secret investment strategy",1
"Secret loophole",1
"Secret revealed",1
"Secret stash",1
"Secret strategy",1
"Section 301",1
"See for yourself",1
"Sent in compliance",1
"Serious",1
"Serious cash",1
"Serious offer",1
"Serious only",1
"Shopper",1
"Shopping spree",1
"Sign up free",1
"Sign up free today",1
"Skyrocket your career",1
"Skyrocket your earnings",1
"Skyrocket your success",1
"Social security number",1
"Solution",1
"Spam",1
"Special",1
"Special deal",1
"Special discount",1
"Special for you",1
"Special invitation",1
"Special offer",1
"Special promotion",1
"Stainless steel",1
"Start earning",1
"Stock alert",1
"Stock disclaimer statement",1
"Stock pick",1
"Stop",1
"Stop calling me",1
"Stop emailing me",1
"Stop snoring",1
"Strong buy",1
"Stuff on sale",1
"Subject to…",1
"Subject to cash",1
"Subject to credit",1
"Subscribe",1
"Subscribe for free",1
"Subscribe now",1
"Success",1
"Success blueprint",1
"Supercharge your business",1
"Supercharge your finances",1
"Supercharge your savings",1
"Supplies",1
"Supplies are limited",1
"Supreme offer",1
"Surprise",1
"Take action",1
"Take action now",1
"Talks about hidden charges",1
"Talks about prizes",1
"Teen",1
"Tells you it’s an ad",1
"Terms",1
"Terms and conditions",1
"The best rates",1
"The following form",1
"They keep your money — no refund!",1
"They keep your Money — no refund!",1
"They’re just giving it away",1
"This",1
"This isn't a scam",1
"This isn’t a scam",1
"This isn't junk",1
"This isn’t junk",1
"This isn't spam",1
"This isn’t spam",1
"This won't last",1
"This won’t last",1
"Thousands",1
"Time is running out",1
"Time limited",1
"Time-limited",1
"Time-limited offer",1
"Time-sensitive",1
"Today",1
"Top earner",1
"Top performer",1
"Top-rated",1
"Top-rated product",1
"Top secret",1
"Top secret formula",1
"Top secret method",1
"Top secret techniques",1
"Traffic",1
"Transform your life",1
"Trial",1
"Turn your dreams into reality",1
"Ultimate breakthrough",1
"Ultimate solution",1
"Ultimate success",1
"Unbeatable offer",1
"Unbelievable",1
"Uncover hidden treasures",1
"Uncover the secret",1
"Undisclosed",1
"Undisclosed recipient",1
"University diplomas",1
"Unleash your potential",1
"Unlimited",1
"Unlimited profits",1
"Unlock",1
"Unlock financial freedom",1
"Unlock hidden profits",1
"Unlock hidden riches",1
"Unlock hidden treasures",1
"Unlock hidden wealth",1
"Unlock the code",1
"Unlock the secret to success",1
"Unlock the secret to wealth",1
"Unlock your dreams",1
"Unlock your financial potential",1
"Unlock your potential",1
"Unlock your success",1
"Unsecured credit",1
"Unsecured credit/debt",1
"Unsecured debt",1
"Unsolicited",1
"Unsubscribe",1
"Urgency",1
"Urgent",1
"Urgent action required",1
"Urgent and important",1
"US dollars",1
"Vacation",1
"Vacation offers",1
"Valium",1
"Valuable",1
"Valuable information",1
"Viagra",1
"Viagra and other drugs",1
"Vicodin",1
"VIP",1
"VIP access",1
"VIP treatment",1
"Visit",1
"Visit our website",1
"Wants credit card",1
"Warranty",1
"Warranty expired",1
"Wealth creation",1
"Website",1
"Website visitors",1
"Web traffic",1
"Weekend getaway",1
"We hate spam",1
"We honor all",1
"Weight",1
"Weight loss",1
"What are you waiting for?",1
"What's keeping you?",1
"What’s keeping you?",1
"While available",1
"While in stock",1
"While supplies last",1
"While you sleep",1
"Who really wins?",1
"Why pay more?",1
"Wife",1
"Will not believe your eyes",1
"Win",1
"Win a cash prize",1
"Win a fortune",1
"Win a luxury car",1
"Win a luxury vacation",1
"Win a trip",1
"Win big",1
"Win big money",1
"Win big prizes",1
"Winner",1
"Winning",1
"Won",1
"Work at home",1
"Work from home",1
"Xanax",1
"XXX$ credited",1
"XXX amount credited",1
"You are a winner!",1
"You are a winner",1
"You have been chosen",1
"You have been selected",1
"Your chance",1
"You’re a winner! Won",1
"Your income",1
"Your income",1
"Yours",1
"Your status",1
"You will not believe your eyes",1
"Zero chance",1
"Zero percent",1
"Zero risk",1
